Time_Period,Time_Start_Label,Time_End_Label,Charging_Power_kW,Discharging_Power_kW,Net_Power_kW
45,19:00,19:15,-0.0,0.0,-0.0
46,19:15,19:30,-0.0,0.0,-0.0
47,19:30,19:45,-0.0,0.0,-0.0
48,19:45,20:00,-0.0,0.0,-0.0
49,20:00,20:15,-0.0,0.0,-0.0
50,20:15,20:30,-0.0,0.0,-0.0
51,20:30,20:45,-0.0,0.0,-0.0
52,20:45,21:00,-0.0,0.0,-0.0
53,21:00,21:15,1.9480104255389894,0.0,1.9480104255389894
54,21:15,21:30,1.9480104255389894,0.0,1.9480104255389894
55,21:30,21:45,1.9480104255389894,0.0,1.9480104255389894
56,21:45,22:00,1.9480104255389894,0.0,1.9480104255389894
57,22:00,22:15,1.9480104255389894,0.0,1.9480104255389894
58,22:15,22:30,1.9480104255389894,0.0,1.9480104255389894
59,22:30,22:45,1.9480104255389894,0.0,1.9480104255389894
60,22:45,23:00,1.9480104255389894,0.0,1.9480104255389894
61,23:00,23:15,1.9480104255389894,0.0,1.9480104255389894
62,23:15,23:30,1.9480104255389894,0.0,1.9480104255389894
63,23:30,23:45,1.9480104255389894,0.0,1.9480104255389894
64,23:45,00:00,1.9480104255389894,0.0,1.9480104255389894
65,00:00,00:15,1.9480104255389894,0.0,1.9480104255389894
66,00:15,00:30,1.9480104255389894,0.0,1.9480104255389894
67,00:30,00:45,1.9480104255389894,0.0,1.9480104255389894
68,00:45,01:00,1.9480104255389894,0.0,1.9480104255389894
69,01:00,01:15,1.9480104255389894,0.0,1.9480104255389894
70,01:15,01:30,1.9480104255389894,0.0,1.9480104255389894
71,01:30,01:45,1.9480104255389894,0.0,1.9480104255389894
72,01:45,02:00,1.9480104255389894,0.0,1.9480104255389894
73,02:00,02:15,1.9480104255389894,0.0,1.9480104255389894
74,02:15,02:30,1.9480104255389894,0.0,1.9480104255389894
75,02:30,02:45,1.9480104255389894,0.0,1.9480104255389894
76,02:45,03:00,1.9480104255389894,0.0,1.9480104255389894
77,03:00,03:15,1.9480104255389894,0.0,1.9480104255389894
78,03:15,03:30,1.9480104255389894,0.0,1.9480104255389894
79,03:30,03:45,1.9480104255389894,0.0,1.9480104255389894
80,03:45,04:00,1.9480104255389894,0.0,1.9480104255389894
81,04:00,04:15,1.9480104255389894,0.0,1.9480104255389894
82,04:15,04:30,1.9480104255389894,0.0,1.9480104255389894
83,04:30,04:45,1.9480104255389894,0.0,1.9480104255389894
84,04:45,05:00,1.9480104255389894,0.0,1.9480104255389894
85,05:00,05:15,1.9480104255389894,0.0,1.9480104255389894
86,05:15,05:30,1.9480104255389894,0.0,1.9480104255389894
87,05:30,05:45,1.9480104255389894,0.0,1.9480104255389894
88,05:45,06:00,1.9480104255389894,0.0,1.9480104255389894
89,06:00,06:15,1.9480104255389894,0.0,1.9480104255389894
90,06:15,06:30,1.9480104255389894,0.0,1.9480104255389894
91,06:30,06:45,1.9480104255389894,0.0,1.9480104255389894
92,06:45,07:00,1.9480104255389894,0.0,1.9480104255389894
93,07:00,07:15,1.9480104255389894,0.0,1.9480104255389894
94,07:15,07:30,1.9480104255389894,0.0,1.9480104255389894
95,07:30,07:45,1.9480104255389894,0.0,1.9480104255389894
96,07:45,08:00,1.948010425539068,0.0,1.948010425539068
