Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh,MCS_2_SOE_kWh,MCS_2_Max_SOE_kWh,MCS_2_Min_SOE_kWh
46,19:15,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
47,19:30,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
48,19:45,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
49,20:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
50,20:15,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
51,20:30,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
52,20:45,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
53,21:00,224.9362880886429,250.0,50.0,241.20036934441404,250.0,50.0
54,21:15,225.70590951061888,250.0,50.0,241.20036934441404,250.0,50.0
55,21:30,226.47553093259486,250.0,50.0,241.20036934441404,250.0,50.0
56,21:45,227.24515235457085,250.0,50.0,241.20036934441404,250.0,50.0
57,22:00,228.01477377654683,250.0,50.0,241.20036934441404,250.0,50.0
58,22:15,228.78439519852282,250.0,50.0,241.20036934441404,250.0,50.0
59,22:30,229.5540166204988,250.0,50.0,241.20036934441404,250.0,50.0
60,22:45,230.32363804247478,250.0,50.0,241.20036934441404,250.0,50.0
61,23:00,231.09325946445077,250.0,50.0,241.20036934441404,250.0,50.0
62,23:15,231.86288088642678,250.0,50.0,241.20036934441404,250.0,50.0
63,23:30,232.63250230840276,250.0,50.0,241.20036934441404,250.0,50.0
64,23:45,233.40212373037878,250.0,50.0,241.20036934441404,250.0,50.0
65,00:00,234.17174515235476,250.0,50.0,241.20036934441404,250.0,50.0
66,00:15,234.94136657433074,250.0,50.0,241.20036934441404,250.0,50.0
67,00:30,235.71098799630673,250.0,50.0,241.20036934441404,250.0,50.0
68,00:45,236.4806094182827,250.0,50.0,241.20036934441404,250.0,50.0
69,01:00,237.2502308402587,250.0,50.0,241.20036934441404,250.0,50.0
70,01:15,238.01985226223468,250.0,50.0,241.20036934441404,250.0,50.0
71,01:30,238.7894736842107,250.0,50.0,241.20036934441404,250.0,50.0
72,01:45,239.55909510618667,250.0,50.0,241.20036934441404,250.0,50.0
73,02:00,240.32871652816266,250.0,50.0,241.20036934441404,250.0,50.0
74,02:15,241.09833795013864,250.0,50.0,241.20036934441404,250.0,50.0
75,02:30,241.86795937211463,250.0,50.0,241.20036934441404,250.0,50.0
76,02:45,242.63758079409064,250.0,50.0,241.20036934441404,250.0,50.0
77,03:00,243.40720221606662,250.0,50.0,241.20036934441404,250.0,50.0
78,03:15,244.17682363804263,250.0,50.0,241.20036934441404,250.0,50.0
79,03:30,244.94644506001862,250.0,50.0,241.20036934441404,250.0,50.0
80,03:45,245.71606648199463,250.0,50.0,241.20036934441404,250.0,50.0
81,04:00,246.48568790397061,250.0,50.0,241.20036934441404,250.0,50.0
82,04:15,247.25530932594646,250.0,50.0,241.20036934441404,250.0,50.0
83,04:30,248.02493074792244,250.0,50.0,241.20036934441404,250.0,50.0
84,04:45,248.79455216989842,250.0,50.0,241.20036934441404,250.0,50.0
85,05:00,249.5641735918744,250.0,50.0,241.20036934441404,250.0,50.0
86,05:15,250.0,250.0,50.0,241.53416435826443,250.0,50.0
87,05:30,250.0,250.0,50.0,242.30378578024042,250.0,50.0
88,05:45,250.0,250.0,50.0,243.0734072022164,250.0,50.0
89,06:00,250.0,250.0,50.0,243.84302862419239,250.0,50.0
90,06:15,250.0,250.0,50.0,244.61265004616837,250.0,50.0
91,06:30,250.0,250.0,50.0,245.38227146814435,250.0,50.0
92,06:45,250.0,250.0,50.0,246.15189289012034,250.0,50.0
93,07:00,250.0,250.0,50.0,246.92151431209632,250.0,50.0
94,07:15,250.0,250.0,50.0,247.6911357340723,250.0,50.0
95,07:30,250.0,250.0,50.0,248.460757156048,250.0,50.0
96,07:45,250.0,250.0,50.0,249.230378578024,250.0,50.0
97,08:00,250.0,250.0,50.0,250.0,250.0,50.0
