Time_Period,Time_Start_Label,Time_End_Label,Total_Charging_Power_kW,Total_Discharging_Power_kW,Net_Power_kW
41,18:00,18:15,0.0,0.0,0.0
42,18:15,18:30,0.0,0.0,0.0
43,18:30,18:45,0.0,0.0,0.0
44,18:45,19:00,0.0,0.0,0.0
45,19:00,19:15,0.0,0.0,0.0
46,19:15,19:30,0.0,0.0,0.0
47,19:30,19:45,0.0,0.0,0.0
48,19:45,20:00,0.0,0.0,0.0
49,20:00,20:15,0.0,0.0,0.0
50,20:15,20:30,0.0,0.0,0.0
51,20:30,20:45,0.0,0.0,0.0
52,20:45,21:00,0.0,0.0,0.0
53,21:00,21:15,3.240511250425202,0.0,3.240511250425202
54,21:15,21:30,3.240511250425202,0.0,3.240511250425202
55,21:30,21:45,3.240511250425202,0.0,3.240511250425202
56,21:45,22:00,3.240511250425202,0.0,3.240511250425202
57,22:00,22:15,3.240511250425202,0.0,3.240511250425202
58,22:15,22:30,3.240511250425202,0.0,3.240511250425202
59,22:30,22:45,3.240511250425202,0.0,3.240511250425202
60,22:45,23:00,3.240511250425229,0.0,3.240511250425229
61,23:00,23:15,3.240511250425219,0.0,3.240511250425219
62,23:15,23:30,3.24051125042521,0.0,3.24051125042521
63,23:30,23:45,3.2405112504252216,0.0,3.2405112504252216
64,23:45,00:00,3.240511250425212,0.0,3.240511250425212
65,00:00,00:15,3.240511250425235,0.0,3.240511250425235
66,00:15,00:30,3.2405112504252145,0.0,3.2405112504252145
67,00:30,00:45,3.2405112504252136,0.0,3.2405112504252136
68,00:45,01:00,3.2405112504252283,0.0,3.2405112504252283
69,01:00,01:15,3.2405112504252283,0.0,3.2405112504252283
70,01:15,01:30,3.2405112504252402,0.0,3.2405112504252402
71,01:30,01:45,3.2405112504252207,0.0,3.2405112504252207
72,01:45,02:00,3.2405112504252283,0.0,3.2405112504252283
73,02:00,02:15,3.2405112504252283,0.0,3.2405112504252283
74,02:15,02:30,3.2405112504252287,0.0,3.2405112504252287
75,02:30,02:45,3.240511250425228,0.0,3.240511250425228
76,02:45,03:00,3.2405112504252296,0.0,3.2405112504252296
77,03:00,03:15,3.2405112504252287,0.0,3.2405112504252287
78,03:15,03:30,3.2405112504252296,0.0,3.2405112504252296
79,03:30,03:45,3.240511250425233,0.0,3.240511250425233
80,03:45,04:00,3.2405112504252287,0.0,3.2405112504252287
81,04:00,04:15,3.240511250425225,0.0,3.240511250425225
82,04:15,04:30,3.2405112504252367,0.0,3.2405112504252367
83,04:30,04:45,3.2405112504252296,0.0,3.2405112504252296
84,04:45,05:00,3.2405112504252283,0.0,3.2405112504252283
85,05:00,05:15,3.2405112504252327,0.0,3.2405112504252327
86,05:15,05:30,3.2405112504252203,0.0,3.2405112504252203
87,05:30,05:45,3.2405112504252362,0.0,3.2405112504252362
88,05:45,06:00,3.240511250425202,0.0,3.240511250425202
89,06:00,06:15,3.240511250425202,0.0,3.240511250425202
90,06:15,06:30,3.240511250425202,0.0,3.240511250425202
91,06:30,06:45,3.240511250425202,0.0,3.240511250425202
92,06:45,07:00,3.240511250425202,0.0,3.240511250425202
93,07:00,07:15,3.240511250425202,0.0,3.240511250425202
94,07:15,07:30,3.240511250425202,0.0,3.240511250425202
95,07:30,07:45,3.240511250425202,0.0,3.240511250425202
96,07:45,08:00,3.240511250425315,0.0,3.240511250425315
