Time_Period,Time_Start_Label,Time_End_Label,Grid_Energy_kWh,Energy_Cost_USD,CO2_Emissions_kg,Cumulative_Energy_Cost_USD,Cumulative_CO2_Emissions_kg
44,18:45,19:00,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
45,19:00,19:15,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
46,19:15,19:30,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
47,19:30,19:45,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
48,19:45,20:00,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
49,20:00,20:15,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
50,20:15,20:30,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
51,20:30,20:45,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
52,20:45,21:00,0.0,0.0,0.0,5.642827028464104,2.6243188226299483
53,21:00,21:15,0.7759663130451188,0.300298963148461,0.16922346140528113,5.943125991612566,2.7935422840352295
54,21:15,21:30,0.7759663130451188,0.300298963148461,0.1699934155313328,6.243424954761027,2.9635356995665623
55,21:30,21:45,0.7759663130451188,0.300298963148461,0.1735597000605473,6.543723917909488,3.1370953996271096
56,21:45,22:00,0.7759663130451188,0.300298963148461,0.18416706877181543,6.844022881057949,3.321262468398925
57,22:00,22:15,0.7759663130451188,0.300298963148461,0.19129607304100232,7.14432184420641,3.5125585414399274
58,22:15,22:30,0.7759663130451188,0.300298963148461,0.20699299936776924,7.444620807354871,3.7195515408076965
59,22:30,22:45,0.7759663130451188,0.300298963148461,0.2182923849245731,7.744919770503333,3.9378439257322695
60,22:45,23:00,0.7759663130451188,0.300298963148461,0.22352331118684765,8.045218733651794,4.1613672369191175
61,23:00,23:15,0.7759663130451188,0.300298963148461,0.22780514917180514,8.345517696800254,4.389172386090922
62,23:15,23:30,0.7759663130451188,0.300298963148461,0.22310263967342175,8.645816659948714,4.612275025764344
63,23:30,23:45,0.7759663130451188,0.300298963148461,0.22709733442810215,8.946115623097175,4.839372360192446
64,23:45,00:00,0.7759663130451188,0.300298963148461,0.2362272237050504,9.246414586245635,5.075599583897496
65,00:00,00:15,0.7759663130451188,0.202527207704776,0.242417604378618,9.44894179395041,5.318017188276114
66,00:15,00:30,0.7759663130451188,0.202527207704776,0.21307175961510422,9.651469001655187,5.531088947891218
67,00:30,00:45,0.7759663130451188,0.202527207704776,0.21469581210226146,9.853996209359963,5.74578475999348
68,00:45,01:00,0.7759663130451188,0.202527207704776,0.2147225635409037,10.056523417064739,5.960507323534384
69,01:00,01:15,0.7759663130451188,0.202527207704776,0.21300862777184118,10.259050624769515,6.173515951306225
70,01:15,01:30,0.7759663130451188,0.202527207704776,0.21593731707691907,10.46157783247429,6.389453268383144
71,01:30,01:45,0.7759663130451188,0.202527207704776,0.21843479957393888,10.664105040179066,6.607888067957083
72,01:45,02:00,0.7759663130451188,0.202527207704776,0.21871900499575478,10.866632247883842,6.826607072952838
73,02:00,02:15,0.7759663130451188,0.202527207704776,0.21772725641844545,11.069159455588618,7.044334329371283
74,02:15,02:30,0.7759663130451188,0.202527207704776,0.2181024314750049,11.271686663293394,7.262436760846288
75,02:30,02:45,0.7759663130451188,0.202527207704776,0.22039254783839174,11.47421387099817,7.48282930868468
76,02:45,03:00,0.7759663130451188,0.202527207704776,0.21957624679639454,11.676741078702946,7.702405555481075
77,03:00,03:15,0.7759663130451188,0.202527207704776,0.22052640047545943,11.879268286407722,7.9229319559565345
78,03:15,03:30,0.7759663130451188,0.202527207704776,0.22370591313156604,12.081795494112498,8.146637869088101
79,03:30,03:45,0.7759663130451188,0.202527207704776,0.22575594551769673,12.284322701817274,8.372393814605799
80,03:45,04:00,0.7759663130451188,0.202527207704776,0.22672316579985072,12.48684990952205,8.599116980405649
81,04:00,04:15,0.7759663130451188,0.202527207704776,0.2255638845436223,12.689377117226826,8.82468086494927
82,04:15,04:30,0.7759663130451188,0.202527207704776,0.21753145606270846,12.891904324931602,9.042212321011979
83,04:30,04:45,0.7759663130451188,0.202527207704776,0.2172371157448779,13.094431532636378,9.259449436756856
84,04:45,05:00,0.7759663130451188,0.202527207704776,0.21689541820296215,13.296958740341154,9.47634485495982
85,05:00,05:15,0.7759663130451188,0.202527207704776,0.2188435941469773,13.49948594804593,9.695188449106796
86,05:15,05:30,0.7759663130451188,0.202527207704776,0.2155972754471154,13.702013155750706,9.91078572455391
87,05:30,05:45,0.7759663130451188,0.202527207704776,0.21796496904264895,13.904540363455482,10.12875069359656
88,05:45,06:00,0.7759663130451188,0.202527207704776,0.21975809372589036,14.107067571160258,10.34850878732245
89,06:00,06:15,0.7759663130451188,0.300298963148461,0.22040367441935452,14.407366534308718,10.568912461741805
90,06:15,06:30,0.7759663130451188,0.300298963148461,0.21385364810305046,14.707665497457178,10.782766109844856
91,06:30,06:45,0.7759663130451188,0.300298963148461,0.21061043870020493,15.007964460605638,10.99337654854506
92,06:45,07:00,0.7759663130451188,0.300298963148461,0.20536990830287383,15.308263423754099,11.198746456847934
93,07:00,07:15,0.7759663130451188,0.300298963148461,0.19855856601905605,15.608562386902559,11.39730502286699
94,07:15,07:30,0.7759663130451188,0.300298963148461,0.18015598793650248,15.90886135005102,11.577461010803493
95,07:30,07:45,0.7759663130451188,0.300298963148461,0.1684227084002984,16.20916031319948,11.74588371920379
96,07:45,08:00,0.7759663130451143,0.3002989631484593,0.15525285682186474,16.50945927634794,11.901136576025655
